cycle,id,in,exp,out
108,108,0xa5e5a5ab,0xa0511a96,0xa0511a96
109,109,0x12476f57,0xb29889ed,0xb29889ed
110,110,0x9bf00273,0x4e888c60,0x4e888c60
111,111,0xa28defe3,0xf1167c43,0xf1167c43
112,112,0x2bcfbe01,0x1ce63a44,0x1ce63a44
113,113,0x88bd6407,0xa5a39e4b,0xa5a39e4b
114,114,0xbaa80dd4,0x604bac1f,0x604bac1f
115,115,0x3eabedcb,0x9ef799ea,0x9ef799ea
116,116,0x29d4beef,0xc8cc58d9,0xc8cc58d9
117,117,0x7656af72,0x3f23084b,0x3f23084b
118,118,0x6123fdf7,0xa0470642,0xa0470642
119,119,0x451b4cf3,0xe5625335,0xe5625335
120,120,0xfd5166e6,0xe2b3ba1b,0xe2b3ba1b
121,121,0xece66fa2,0xcf9a29bd,0xcf9a29bd
122,122,0xa3d70628,0x73712fe5,0x73712fe5
123,123,0xb02b61c4,0x239c91a9,0x239c91a9
124,124,0x8e944239,0xb230d3e2,0xb230d3e2
125,125,0x3838b326,0xea698708,0xea698708
126,126,0xaf42e12f,0x99ac6837,0x99ac6837
127,127,0x5304317f,0xecb099b6,0xecb099b6
128,128,0xd7c524a5,0xc475be5b,0xc475be5b
129,129,0xc4b032cc,0x8925f127,0x8925f127
130,130,0xc6a7ee39,0x4fcddf60,0x4fcddf60
131,131,0x0e51f30d,0x5e1fd26d,0x5e1fd26d
132,132,0x3aa2e4f9,0x98c2b766,0x98c2b766
133,133,0xd261a7ab,0x6b245f11,0x6b245f11
134,134,0x0837b8a3,0x735c17b4,0x735c17b4
135,135,0xce177b4e,0x41739302,0x41739302
136,136,0x50c187fc,0x92351afe,0x92351afe
137,137,0x66b2bc5b,0xf8e7d759,0xf8e7d759
138,138,0x448aaa9e,0x3d7281f7,0x3d7281f7
139,139,0x10f1bc81,0x4e643e78,0x4e643e78
140,140,0x3602f8ac,0x84673724,0x84673724
141,141,0xe9c349e0,0x6e2a8104,0x6e2a8104
142,142,0xf16287e4,0x5f8d08e8,0x5f8d08e8
143,143,0x9132b63e,0xf0bfbf26,0xf0bfbf26
144,144,0xe059a0ee,0xd1196014,0xd1196014
145,145,0xb7c93acf,0x88e29ae3,0x88e29ae3
146,146,0x508ebad7,0xd97155ba,0xd97155ba
147,147,0x366eb16f,0x0fe00729,0x0fe00729
148,148,0xa7cad415,0xb7aadb3e,0xb7aadb3e
149,149,0x7fcd9eb1,0x377879ef,0x377879ef
150,150,0x654821d0,0x9cc09bbf,0x9cc09bbf
151,151,0xe27a984d,0x7f3b340c,0x7f3b340c
152,152,0xea1fca65,0x695afe71,0x695afe71
153,153,0xa491f0b2,0x0decef23,0x0decef23
154,154,0x757750a9,0x83643fcc,0x83643fcc
155,155,0x24933b83,0xa7f77b4f,0xa7f77b4f
156,156,0x43cf2fde,0xebc6ab2d,0xebc6ab2d
157,157,0x23bed01d,0x0f857b4a,0x0f857b4a
158,158,0x3f22faf8,0x4ea87642,0x4ea87642
159,159,0xbeb79919,0x0d600f5b,0x0d600f5b
160,160,0x8fb5d27b,0x9d15e1d6,0x9d15e1d6
161,161,0x89fa6a68,0x27104c3e,0x27104c3e
162,162,0x434308bc,0x6a5354fa,0x6a5354fa
163,163,0xbf3c4c06,0x298fa100,0x298fa100
164,164,0x95a76d79,0xbf370e79,0xbf370e79
165,165,0x6dadd6c7,0x2ce4e540,0x2ce4e540
166,166,0xe5d7b875,0x12bc9db5,0x12bc9db5
167,167,0x956269f0,0xa81f07a5,0xa81f07a5
168,168,0x663f1c97,0x0e5e243c,0x0e5e243c
169,169,0x5cabcc97,0x6b09f0d3,0x6b09f0d3
170,170,0x382567b8,0xa32f588b,0xa32f588b
171,171,0xff50bde4,0xa280166f,0xa280166f
172,172,0xff5e9ff0,0xa1deb65f,0xa1deb65f
173,173,0x2369b584,0xc5486be3,0xc5486be3
174,174,0x827050a8,0x47b8bc8b,0x47b8bc8b
175,175,0x7e570ddf,0xc60fca6a,0xc60fca6a
176,176,0x1745d6d8,0xdd55a142,0xdd55a142
177,177,0xc17af08a,0x9ed091cc,0x9ed091cc
178,178,0x0c0fd195,0xaae06361,0xaae06361
179,179,0xdc713d96,0x8751a0f7,0x8751a0f7
180,180,0x1c11f735,0xa363982c,0xa363982c
181,181,0x27209bdf,0xca84340b,0xca84340b
182,182,0xa0a04dc4,0x6b2481cf,0x6b2481cf
183,183,0x28f49481,0x94191650,0x94191650
184,184,0xcac5b68c,0x5edeccdc,0x5edeccdc
185,185,0xae340454,0x0d12d130,0x0d12d130
186,186,0x6c12ace8,0x79257e18,0x79257e18
187,187,0x98ae4334,0x11d3c14c,0x11d3c14c
188,188,0x10435a10,0x22171b5c,0x22171b5c
189,189,0x62801c45,0x849737a1,0x849737a1
190,190,0x61b1cd22,0xe64904c3,0xe64904c3
191,191,0x988c24c9,0x7ed5298c,0x7ed5298c
192,192,0xff01cf99,0x7dd6f925,0x7dd6f925
193,193,0x77d21e02,0xf5a91727,0xf5a91727
194,194,0x877409a9,0x7d1d20d0,0x7d1d20d0
195,195,0x405cacec,0xbd79cdbc,0xbd79cdbc
196,196,0xf89897b9,0xb6126575,0xb6126575
197,197,0x8da0365b,0x43b29bd0,0x43b29bd0
198,198,0xdc5c0eed,0x200eaabd,0x200eaabd
199,199,0xf143262f,0x1151d0ec,0x1151d0ec
200,200,0x02f06b90,0x14423c7c,0x14423c7c
201,201,0xae270da7,0xc2694a23,0xc2694a23
202,202,0xb88139b9,0x7aea83dc,0x7aea83dc
203,203,0x1d53434b,0x983dc727,0x983dc727
204,204,0xae849217,0x46c2593e,0x46c2593e
205,205,0xe2817efd,0x2943d83b,0x2943d83b
206,206,0x8976e334,0xb2babb6f,0xb2babb6f
207,207,0xc0398710,0x72f4427f,0x72f4427f
208,208,0x444ea7c8,0xb742ea47,0xb742ea47
209,209,0xc4c2e2e3,0x7c05cd2a,0x7c05cd2a
210,210,0xa4161293,0x201bdfbd,0x201bdfbd
211,211,0x5715bd6f,0x77319d2c,0x77319d2c
212,212,0x1c8eaee9,0x93c04c15,0x93c04c15
213,213,0x4b22d308,0xdee31f1d,0xdee31f1d
214,214,0x6f4cc69a,0x4e2fe5b7,0x4e2fe5b7
215,215,0x287d06ca,0x76acec81,0x76acec81
216,216,0x74273ca3,0xead42924,0xead42924
217,217,0x00d4af59,0xeba8d87d,0xeba8d87d
218,218,0xf42d47cc,0xdfd62049,0xdfd62049
219,219,0xb8db0672,0x98b126bb,0x98b126bb
220,220,0xe037e5ed,0x78e90ca8,0x78e90ca8
221,221,0xb83cfe0b,0x31260ab3,0x31260ab3
222,222,0x436d76e2,0x74938195,0x74938195
223,223,0xf8cda88b,0x6d612a20,0x6d612a20
224,224,0x8026695f,0xed87937f,0xed87937f
225,225,0xc30ff46e,0xb09787ed,0xb09787ed
226,226,0x2dbc2134,0xde53a921,0xde53a921
227,227,0x81f76d1c,0x604b163d,0x604b163d
228,228,0xe9a1fa6f,0x49ed10ac,0x49ed10ac
229,229,0x1b3dbd5c,0x652ace08,0x652ace08
